MITK
FANG
NEE
CWAN
CPRI
CRGY
NOG
GTN
TARS
AMCX
OLPX
REZI
EYE
LEG
SYF
MLYS
STOK
GDOT
PSNL
DYN
CNR
OLMA
LVS
TSHA
KURA
FSLR
ZYME
AUPH
YOU
LXP
OMER
PRM
XMTR
ANF
WVE
SVRA
HNRG
EYPT
CIFR
RIOT
RIG
DOCN
NE
DK
SM
TDW
RLAY
DD
TWI
AMCR
SNCY
CAT
ROAD
GEV
HAS
TT
TALO
ATEN
EQIX
CCL
AMBP
COP
HCA
EOG
KMT
GTX
GLNG
MPC
OSW
PSX
KEYS
VCTR
KN
LAND
ETN
CVX
HASI
LIN
PWR
ECL
HUBB
FER
GVA
DLR
NJR
HIG
KR
CB
MO
PACS
HLT
ETR
MCD
REG
OGS
NTST
TGT
PLD
CNP
WMT
