Date,Close,High,Low,Open,Volume
2020-01-02,152.5056915283203,152.61013505752078,150.33138558688324,150.7586493016358,22622100
2020-01-03,150.6067352294922,151.86954723170166,150.07502796286428,150.32190239946755,21116200
2020-01-06,150.9960479736328,151.06251863556693,148.60335043895984,149.14456187034835,20813700
2020-01-07,149.6193084716797,151.6037214882425,149.37244847759914,151.27141162943474,21634100
2020-01-08,152.00245666503906,152.67659475751987,149.97056727826134,150.90105488844765,27746500
2020-01-09,153.9014434814453,154.02488070506504,152.89499547083327,153.66407312090712,21385000
2020-01-10,153.18931579589844,154.97434534980923,153.0373953045155,154.59455860928736,20725900
2020-01-13,155.03128051757812,155.0597637929525,153.11332454408566,153.58806511756865,21626500
2020-01-14,153.93939208984375,155.33513061739103,153.55010131948112,155.13573319005567,23477400
2020-01-15,154.93634033203125,155.6579553399232,154.35717068949413,154.40463316070066,21417900
2020-01-16,157.77529907226562,157.84176971460525,155.7434097574871,156.0472507145809,23865400
2020-01-17,158.65830993652344,159.0096133346895,157.07266362690274,158.9621363784131,34371700
2020-01-21,158.08863830566406,159.69326403956893,158.02216765967506,158.25953798746136,29517200
2020-01-22,157.3290557861328,159.0286355049522,157.3100621026329,158.94317117317047,24138800
2020-01-23,158.29757690429688,158.37353717247788,156.92083145237288,157.79435280454493,19680800
2020-01-24,156.70240783691406,159.06662179825054,156.14221727387803,159.04762811314887,24918100
2020-01-27,154.0818328857422,155.1262681697583,152.10690993192532,153.00891432015612,32078100
2020-01-28,157.10116577148438,157.38599854121892,154.83190628235468,155.50602982130422,24899900
2020-01-29,159.55084228515625,160.22498042935823,157.3195697689756,159.36094890964196,34754500
2020-01-30,164.05137634277344,165.25722163927998,162.16190335753365,165.25722163927998,51597500
2020-01-31,161.63023376464844,163.69060690756305,161.0130765768957,163.51021759011365,36142700
2020-02-03,165.57054138183594,165.68447449319962,161.79159565835778,161.8200789361987,30107000
2020-02-04,171.0205535888672,171.51428788242515,167.40303244015183,168.19110359535253,36433300
2020-02-05,170.8116912841797,174.89446403969472,169.3969733266185,174.7330539466545,39186300
2020-02-06,174.35324096679688,174.5336447165649,170.96358605909285,171.82761744591156,27751400
2020-02-07,174.60009765625,176.2522001633859,173.2613256843261,173.61264358086075,33529100
2020-02-10,179.1671142578125,179.30004105721275,173.99244419039184,174.30577475067838,35844300
2020-02-11,175.122314453125,181.06606153613225,174.2297998090583,181.0185845786521,53159900
2020-02-12,175.3787078857422,176.46111605357248,172.6631906242822,176.20475203047337,47062900
2020-02-13,174.42918395996094,176.8218659651795,173.63160880362253,173.8310062146902,35295800
2020-02-14,175.98635864257812,176.0433252005315,173.42274763120017,173.99244218660291,23149500
2020-02-18,177.7714080810547,178.21766552222772,176.1288092268285,176.23325276599533,27792200
2020-02-19,178.30455017089844,179.1614115971862,177.53337198173801,179.0471672810164,29997500
2020-02-20,175.58160400390625,178.2759769882036,172.4207237419166,177.99035168966387,36862400
2020-02-21,170.03099060058594,174.70568013325956,168.75521418866626,174.3914937880845,48572600
2020-02-24,162.7000732421875,166.18467073776185,155.40717628325572,159.72960430957176,68311100
2020-02-25,160.01519775390625,166.46073285003268,159.61531360581694,165.8514056385486,68073300
2020-02-26,162.01454162597656,164.95644881112133,160.14848344532092,161.5765954218968,56206100
2020-02-27,150.59918212890625,159.0250497653848,150.4087700779,155.49286045756762,93174900
2020-02-28,154.2456512451172,155.86419021733548,144.71538660701916,145.10574080749583,97012700
2020-03-02,164.5089874267578,164.63276179137975,154.53124824993384,157.38747246115315,71030800
2020-03-03,156.62579345703125,166.6130616388873,154.48362552167413,165.47057497886473,71677000
2020-03-04,162.37635803222656,162.5191634394525,157.68262177211892,160.41508629294538,49814400
2020-03-05,158.30145263671875,162.6809872137587,157.74924760857994,158.09199505613142,47817300
2020-03-06,153.8267059326172,155.29289448015368,148.52364323617397,154.816857162089,72821100
2020-03-09,143.40147399902344,150.18977065923806,142.8111923859633,143.7632670018697,70419300
2020-03-10,153.2078399658203,153.31256875092254,145.2675414399056,150.58011934985362,65354400
2020-03-11,146.2672576904297,150.14219461233048,143.90610170212486,149.5995195250043,56371600
2020-03-12,132.39553833007812,146.11494165006954,131.9385464283136,138.33649116305943,93226400
2020-03-13,151.21804809570312,154.15044033680311,133.98548773594624,140.43103844978467,92727400
2020-03-16,128.92994689941406,142.19235428086998,128.53007729114236,133.29045052414764,87905900
2020-03-17,139.54559326171875,140.43101574371315,128.53008220611034,133.29045562115147,81059800
2020-03-18,133.6712646484375,139.00288808460238,128.54911330868097,131.3862914772269,81593200
