Date,symbol,Open,High,Low,Close,Volume,Trades,VWAP
2021-02-18 05:00:00+00:00,IWM,209.03,209.56,206.26,207.46,25030019.0,163765.0,207.62
2021-02-19 05:00:00+00:00,IWM,209.15,212.76,208.87,211.67,32060557.0,163359.0,211.31
2021-02-22 05:00:00+00:00,IWM,210.13,212.84,209.63,210.34,23523780.0,171449.0,211.33
2021-02-23 05:00:00+00:00,IWM,207.74,209.63,202.66,208.49,39090207.0,319767.0,206.45
2021-02-24 05:00:00+00:00,IWM,209.27,213.84,208.44,213.45,28298337.0,193684.0,212.01
2021-02-25 05:00:00+00:00,IWM,213.22,213.96,204.96,205.5,50844568.0,447462.0,208.64
2021-02-26 05:00:00+00:00,IWM,206.38,208.93,201.95,204.66,48588162.0,456282.0,206.2
2021-03-01 05:00:00+00:00,IWM,210.11,213.14,209.6,212.63,26884354.0,228342.0,211.56
2021-03-02 05:00:00+00:00,IWM,212.28,212.44,208.29,208.41,27733869.0,249406.0,209.87
2021-03-03 05:00:00+00:00,IWM,209.16,210.84,206.09,206.14,33771946.0,332487.0,208.36
2021-03-04 05:00:00+00:00,IWM,205.43,207.48,196.9,200.65,60355470.0,562953.0,201.9
2021-03-05 05:00:00+00:00,IWM,203.91,205.09,194.81,204.56,55103175.0,439984.0,201.08
2021-03-08 05:00:00+00:00,IWM,206.23,208.97,204.64,205.65,41810343.0,359804.0,206.99
2021-03-09 05:00:00+00:00,IWM,209.13,211.52,207.7,209.91,33565068.0,279298.0,210.1
2021-03-10 05:00:00+00:00,IWM,212.1,215.27,211.72,213.51,37245116.0,319921.0,213.79
2021-03-11 05:00:00+00:00,IWM,215.81,218.38,215.1,218.27,25879828.0,216052.0,217.34
2021-03-12 05:00:00+00:00,IWM,218.11,220.14,217.52,219.72,24371867.0,200022.0,218.92
2021-03-15 04:00:00+00:00,IWM,219.33,220.49,218.03,220.41,21765369.0,178537.0,219.56
2021-03-16 04:00:00+00:00,IWM,220.01,220.08,215.41,216.65,25072975.0,229572.0,217.55
2021-03-17 04:00:00+00:00,IWM,215.27,218.89,213.75,218.46,29715844.0,241316.0,216.31
2021-03-18 04:00:00+00:00,IWM,216.99,218.99,211.17,211.8,36500353.0,269974.0,214.76
2021-03-19 04:00:00+00:00,IWM,211.13,214.92,209.61,213.42,41030372.0,290707.0,212.86
2021-03-22 04:00:00+00:00,IWM,214.05,214.45,210.69,211.75,26509814.0,194548.0,212.04
2021-03-23 04:00:00+00:00,IWM,209.79,210.46,203.1,204.21,44582351.0,336781.0,206.46
2021-03-24 04:00:00+00:00,IWM,206.71,208.08,199.35,199.42,47808790.0,371392.0,203.59
2021-03-25 04:00:00+00:00,IWM,197.11,204.88,195.94,204.16,59798327.0,475377.0,200.36
2021-03-26 04:00:00+00:00,IWM,206.23,207.85,203.41,207.76,34614938.0,270646.0,206.01
2021-03-29 04:00:00+00:00,IWM,206.28,208.09,201.64,201.98,38437907.0,307081.0,203.72
2021-03-30 04:00:00+00:00,IWM,201.88,205.97,200.75,205.42,36597679.0,260947.0,203.97
2021-03-31 04:00:00+00:00,IWM,206.43,209.47,206.38,208.1,35751488.0,269878.0,208.01
2021-04-01 04:00:00+00:00,IWM,209.47,210.89,209.12,210.74,30170204.0,215370.0,209.99
2021-04-05 04:00:00+00:00,IWM,213.24,213.37,210.58,211.89,28888401.0,204732.0,211.62
2021-04-06 04:00:00+00:00,IWM,211.92,213.51,210.83,211.27,25019139.0,193202.0,212.17
2021-04-07 04:00:00+00:00,IWM,211.2,211.33,207.16,207.86,26233700.0,186021.0,208.81
2021-04-08 04:00:00+00:00,IWM,208.95,209.87,206.64,209.62,23989440.0,184025.0,208.55
2021-04-09 04:00:00+00:00,IWM,209.56,210.12,208.38,209.65,23454061.0,168755.0,209.19
2021-04-12 04:00:00+00:00,IWM,209.78,209.97,207.59,208.83,20533914.0,149953.0,208.66
2021-04-13 04:00:00+00:00,IWM,208.61,209.63,206.11,208.29,24608360.0,178467.0,207.74
2021-04-14 04:00:00+00:00,IWM,208.97,212.86,208.91,210.34,27361960.0,201115.0,211.16
2021-04-15 04:00:00+00:00,IWM,212.01,212.04,209.34,211.25,20587325.0,167777.0,210.53
2021-04-16 04:00:00+00:00,IWM,212.3,212.56,210.05,211.59,23282888.0,165029.0,211.33
2021-04-19 04:00:00+00:00,IWM,210.71,211.6,207.16,208.84,25285933.0,178702.0,208.67
2021-04-20 04:00:00+00:00,IWM,207.94,208.74,202.73,204.57,35558761.0,262455.0,204.65
2021-04-21 04:00:00+00:00,IWM,204.41,209.68,202.97,209.57,31512677.0,222239.0,207.44
