Date,symbol,Open,High,Low,Close,Volume,Trades,VWAP
2021-02-18 05:00:00+00:00,AAPL,125.85,126.63,124.11,126.35,102110455.0,859579.0,125.56
2021-02-19 05:00:00+00:00,AAPL,126.87,127.32,125.46,126.51,95894715.0,681994.0,126.43
2021-02-22 05:00:00+00:00,AAPL,124.69,126.36,122.35,122.74,111809173.0,969992.0,123.71
2021-02-23 05:00:00+00:00,AAPL,120.55,123.43,115.32,122.6,164346364.0,1547493.0,120.16
2021-02-24 05:00:00+00:00,AAPL,121.7,122.31,119.06,122.1,117486364.0,965735.0,121.21
2021-02-25 05:00:00+00:00,AAPL,121.45,123.18,117.42,117.87,156694180.0,1365705.0,119.41
2021-02-26 05:00:00+00:00,AAPL,119.4,121.62,118.06,118.12,182034189.0,1285915.0,119.64
2021-03-01 05:00:00+00:00,AAPL,120.54,124.62,119.61,124.48,125589785.0,924491.0,122.87
2021-03-02 05:00:00+00:00,AAPL,125.07,125.39,121.77,121.88,109652943.0,831907.0,122.81
2021-03-03 05:00:00+00:00,AAPL,121.58,122.45,118.68,118.9,121248253.0,992163.0,120.12
2021-03-04 05:00:00+00:00,AAPL,118.6,120.4,115.55,117.02,185434303.0,1689139.0,117.67
2021-03-05 05:00:00+00:00,AAPL,117.85,118.78,114.52,118.27,161638253.0,1470130.0,116.76
2021-03-08 05:00:00+00:00,AAPL,117.8,117.87,113.2,113.35,163528340.0,1540737.0,114.82
2021-03-09 05:00:00+00:00,AAPL,115.95,118.9,115.71,117.95,140118332.0,1009108.0,117.63
2021-03-10 05:00:00+00:00,AAPL,118.54,119.0,116.36,116.87,117237978.0,1031837.0,117.2
2021-03-11 05:00:00+00:00,AAPL,119.37,120.02,118.12,118.8,110029338.0,790219.0,118.9
2021-03-12 05:00:00+00:00,AAPL,117.28,118.03,116.07,117.91,92882164.0,760863.0,117.16
2021-03-15 04:00:00+00:00,AAPL,118.26,120.79,117.3,120.78,101152740.0,711880.0,119.85
2021-03-16 04:00:00+00:00,AAPL,122.44,123.92,121.48,122.32,120079103.0,835617.0,122.68
2021-03-17 04:00:00+00:00,AAPL,120.84,122.6,119.17,121.53,119061026.0,896787.0,120.62
2021-03-18 04:00:00+00:00,AAPL,119.7,119.99,117.2,117.41,131210927.0,970649.0,118.4
2021-03-19 04:00:00+00:00,AAPL,116.79,118.28,116.57,116.88,240162615.0,879130.0,117.05
2021-03-22 04:00:00+00:00,AAPL,117.21,120.66,117.14,120.19,122779025.0,723657.0,119.65
2021-03-23 04:00:00+00:00,AAPL,120.13,121.02,118.98,119.37,103620192.0,641875.0,119.78
2021-03-24 04:00:00+00:00,AAPL,119.64,119.72,116.95,116.98,94149863.0,653245.0,118.03
2021-03-25 04:00:00+00:00,AAPL,116.44,118.51,115.92,117.47,105125706.0,807594.0,117.15
2021-03-26 04:00:00+00:00,AAPL,117.23,118.33,115.84,118.07,100931995.0,714845.0,117.17
2021-03-29 04:00:00+00:00,AAPL,118.5,119.4,117.6,118.25,86216952.0,584889.0,118.31
2021-03-30 04:00:00+00:00,AAPL,117.0,117.28,115.78,116.79,91640500.0,667926.0,116.61
2021-03-31 04:00:00+00:00,AAPL,118.5,120.32,118.01,118.99,133199283.0,740859.0,119.39
2021-04-01 04:00:00+00:00,AAPL,120.46,120.96,119.32,119.81,80479798.0,526283.0,119.96
2021-04-05 04:00:00+00:00,AAPL,120.66,122.89,119.88,122.64,94661534.0,642636.0,122.11
2021-04-06 04:00:00+00:00,AAPL,123.22,123.84,122.39,122.94,86151139.0,564316.0,123.09
2021-04-07 04:00:00+00:00,AAPL,122.57,124.61,121.9,124.59,88153365.0,555607.0,123.82
2021-04-08 04:00:00+00:00,AAPL,125.61,127.01,125.19,126.98,95035670.0,639635.0,126.41
2021-04-09 04:00:00+00:00,AAPL,126.44,129.59,126.12,129.55,112957134.0,699498.0,128.32
2021-04-12 04:00:00+00:00,AAPL,129.09,129.41,127.25,127.84,92576672.0,612047.0,128.12
2021-04-13 04:00:00+00:00,AAPL,129.01,131.17,128.51,130.95,92369073.0,640758.0,130.27
2021-04-14 04:00:00+00:00,AAPL,131.44,131.5,128.24,128.61,93010442.0,668835.0,129.54
2021-04-15 04:00:00+00:00,AAPL,130.35,131.5,130.18,131.02,90094951.0,608985.0,130.92
2021-04-16 04:00:00+00:00,AAPL,130.82,131.18,129.83,130.68,84805117.0,540343.0,130.55
2021-04-19 04:00:00+00:00,AAPL,130.05,131.96,129.89,131.35,94957774.0,625259.0,131.08
2021-04-20 04:00:00+00:00,AAPL,131.56,132.02,128.4,129.66,95538041.0,744676.0,130.0
2021-04-21 04:00:00+00:00,AAPL,128.93,130.28,127.9,130.04,69552331.0,508236.0,129.41
2021-04-22 04:00:00+00:00,AAPL,129.59,130.67,128.01,128.52,89780577.0,615674.0,129.31
2021-04-23 04:00:00+00:00,AAPL,128.74,131.62,128.74,130.84,84888565.0,518560.0,130.69
2021-04-26 04:00:00+00:00,AAPL,131.34,131.56,130.1,131.23,73315093.0,484074.0,131.07
2021-04-27 04:00:00+00:00,AAPL,131.51,131.9,130.64,130.91,70356442.0,480005.0,131.09
